"city","state","country","geographykey","customerkey","customername","commutedistance"
"Rockhampton","Queensland","Australia",26,11000,"Jon V Yang","1-2 Miles"
"Seaford","Victoria","Australia",37,11001,"Eugene L Huang","0-1 Miles"
"Hobart","Tasmania","Australia",31,11002,"Ruben Torres","2-5 Miles"
"North Ryde","New South Wales","Australia",11,11003,"Christy Zhu","5-10 Miles"
"Wollongong","New South Wales","Australia",19,11004,"Elizabeth Johnson","1-2 Miles"
"East Brisbane","Queensland","Australia",22,11005,"Julio Ruiz","5-10 Miles"
"Matraville","New South Wales","Australia",8,11006,"Janet G Alvarez","5-10 Miles"
"Warrnambool","Victoria","Australia",40,11007,"Marco Mehta","0-1 Miles"
"Bendigo","Victoria","Australia",32,11008,"Rob Verhoff","10+ Miles"
"Hervey Bay","Queensland","Australia",25,11009,"Shannon C Carlson","5-10 Miles"
"East Brisbane","Queensland","Australia",22,11010,"Jacquelyn C Suarez","5-10 Miles"
"East Brisbane","Queensland","Australia",22,11011,"Curtis Lu","10+ Miles"
"Bremerton","Washington","United States",611,11012,"Lauren M Walker","1-2 Miles"
"Lebanon","Oregon","United States",543,11013,"Ian M Jenkins","0-1 Miles"
"Redmond","Washington","United States",634,11014,"Sydney Bennett","1-2 Miles"
"Burbank","California","United States",301,11015,"Chloe Young","5-10 Miles"
"Imperial Beach","California","United States",329,11016,"Wyatt L Hill","5-10 Miles"
"Sunbury","Victoria","Australia",39,11017,"Shannon Wang","5-10 Miles"
"Bendigo","Victoria","Australia",32,11018,"Clarence D Rai","5-10 Miles"
"Langley","British Columbia","Canada",52,11019,"Luke L Lal","5-10 Miles"
"Metchosin","British Columbia","Canada",53,11020,"Jordan C King","1-2 Miles"
"Beaverton","Oregon","United States",536,11021,"Destiny Wilson","1-2 Miles"
"Bellingham","Washington","United States",609,11022,"Ethan G Zhang","5-10 Miles"
"Bellflower","California","United States",298,11023,"Seth M Edwards","1-2 Miles"
"Concord","California","United States",311,11024,"Russell Xie","5-10 Miles"
"Hawthorne","Queensland","Australia",24,11025,"Alejandro Beck","1-2 Miles"
"Goulburn","New South Wales","Australia",4,11026,"Harold Sai","1-2 Miles"
"Warrnambool","Victoria","Australia",40,11027,"Jessie R Zhao","5-10 Miles"
"St. Leonards","New South Wales","Australia",17,11028,"Jill Jimenez","1-2 Miles"
"Bendigo","Victoria","Australia",32,11029,"Jimmy L Moreno","1-2 Miles"
"Cloverdale","South Australia","Australia",28,11030,"Bethany G Yuan","1-2 Miles"
"Matraville","New South Wales","Australia",8,11031,"Theresa G Ramos","1-2 Miles"
"Melbourne","Victoria","Australia",35,11032,"Denise Stone","1-2 Miles"
"Milsons Point","New South Wales","Australia",9,11033,"Jaime Nath","5-10 Miles"
"North Sydney","New South Wales","Australia",12,11034,"Ebony Gonzalez","5-10 Miles"
"Cranbourne","Victoria","Australia",33,11035,"Wendy Dominguez","1-2 Miles"
"National City","California","United States",343,11036,"Jennifer C Russell","1-2 Miles"
"Cliffside","British Columbia","Canada",49,11037,"Chloe M Garcia","5-10 Miles"
"Lavender Bay","New South Wales","Australia",6,11038,"Diana F Hernandez","5-10 Miles"
"Wollongong","New South Wales","Australia",19,11039,"Marc J Martin","5-10 Miles"
"Tacoma","Washington","United States",642,11040,"Jesse Murphy","1-2 Miles"
"Glendale","California","United States",325,11041,"Amanda M Carter","1-2 Miles"
"Los Angeles","California","United States",338,11042,"Megan J Sanchez","0-1 Miles"
"Glendale","California","United States",325,11043,"Nathan M Simmons","5-10 Miles"
"Hervey Bay","Queensland","Australia",25,11044,"Adam L Flores","1-2 Miles"
"Matraville","New South Wales","Australia",8,11045,"Leonard G Nara","1-2 Miles"
"Lavender Bay","New South Wales","Australia",6,11046,"Christine Yuan","5-10 Miles"
"Geelong","Victoria","Australia",34,11047,"Jaclyn D Lu","1-2 Miles"
"Sunbury","Victoria","Australia",39,11048,"Jeremy Powell","5-10 Miles"
